series_id,week_number,start_date,end_date,home_team_id,away_team_id,series_length
116,4,4/21/2026,4/23/2026,121,142,3
117,4,4/22/2026,4/24/2026,140,134,3
118,4,4/22/2026,9/17/2026,115,135,4
119,4,4/22/2026,4/23/2026,109,145,3
120,4,4/22/2026,9/27/2026,137,119,3
121,5,4/24/2026,4/26/2026,113,116,3
122,5,4/24/2026,9/6/2026,110,111,4
123,5,4/24/2026,4/26/2026,141,114,3
124,5,4/24/2026,4/26/2026,121,115,3
125,5,4/24/2026,4/26/2026,139,142,3
126,5,4/24/2026,9/13/2026,144,143,3
127,5,4/24/2026,4/26/2026,118,108,3
128,5,4/24/2026,4/26/2026,145,120,3
129,5,4/24/2026,8/6/2026,158,134,4
130,5,4/25/2026,9/2/2026,140,133,3
131,5,4/25/2026,4/26/2026,117,147,3
132,5,4/25/2026,4/26/2026,138,136,3
133,5,4/25/2026,4/26/2026,119,112,3
134,5,4/25/2026,4/26/2026,137,146,3
135,5,4/25/2026,8/7/2026,109,135,4
136,5,4/27/2026,4/29/2026,114,139,3
137,5,4/27/2026,9/24/2026,134,138,4
138,5,4/27/2026,8/13/2026,141,111,4
139,5,4/27/2026,4/29/2026,142,136,3
140,5,4/27/2026,4/29/2026,145,108,3
141,5,4/28/2026,4/29/2026,140,147,3
142,5,4/28/2026,4/29/2026,135,112,3
143,5,4/28/2026,4/29/2026,119,146,3
144,5,4/28/2026,4/30/2026,110,117,3
145,5,4/28/2026,4/30/2026,113,115,3
146,5,4/28/2026,4/30/2026,143,137,3
147,5,4/28/2026,8/16/2026,121,120,3
148,5,4/28/2026,4/30/2026,144,116,3
149,5,4/28/2026,4/30/2026,158,109,3
150,5,4/29/2026,4/30/2026,133,118,3
151,6,4/30/2026,5/3/2026,142,141,4
152,6,5/1/2026,5/3/2026,112,109,3
153,6,5/1/2026,5/3/2026,116,140,3
154,6,5/1/2026,6/28/2026,134,113,3
155,6,5/1/2026,5/3/2026,120,158,3
156,6,5/1/2026,9/27/2026,147,110,4
157,6,5/1/2026,5/3/2026,111,117,3
158,6,5/1/2026,5/3/2026,139,137,3
159,6,5/1/2026,7/29/2026,146,143,4
160,6,5/2/2026,5/3/2026,138,119,3
161,6,5/2/2026,5/3/2026,115,144,3
162,6,5/2/2026,5/3/2026,108,121,3
163,6,5/2/2026,5/3/2026,133,114,3
164,6,5/2/2026,5/3/2026,135,145,3
165,6,5/2/2026,5/3/2026,136,118,3
166,6,5/4/2026,5/7/2026,115,121,3
167,6,5/4/2026,5/6/2026,116,111,3
168,6,5/4/2026,8/20/2026,139,141,3
169,6,5/4/2026,8/30/2026,112,113,4
170,6,5/4/2026,9/27/2026,118,114,4
171,6,5/4/2026,7/9/2026,138,158,5
172,6,5/5/2026,5/6/2026,117,119,3
173,6,5/5/2026,5/6/2026,108,145,3
174,6,5/5/2026,5/6/2026,136,144,3
175,6,5/5/2026,9/13/2026,137,135,3
176,6,5/5/2026,5/7/2026,143,133,3
177,6,5/5/2026,5/7/2026,146,110,3
178,6,5/5/2026,5/7/2026,120,142,3
179,6,5/5/2026,5/7/2026,147,140,3
180,6,5/6/2026,5/7/2026,109,134,3
181,7,5/7/2026,7/19/2026,111,139,4
182,7,5/8/2026,5/10/2026,135,138,4
183,7,5/8/2026,5/10/2026,113,117,3
184,7,5/8/2026,5/10/2026,143,115,3
185,7,5/8/2026,5/10/2026,110,133,3
186,7,5/8/2026,5/10/2026,141,108,3
187,7,5/8/2026,8/23/2026,146,120,3
188,7,5/8/2026,7/23/2026,114,142,4
189,7,5/8/2026,8/23/2026,118,116,3
190,7,5/8/2026,5/10/2026,145,136,3
191,7,5/8/2026,5/10/2026,158,147,3
192,7,5/9/2026,5/10/2026,140,112,3
193,7,5/9/2026,5/10/2026,109,121,3
194,7,5/9/2026,5/10/2026,119,144,3
195,7,5/9/2026,5/10/2026,137,134,3
196,7,5/11/2026,5/13/2026,114,108,3
197,7,5/11/2026,8/20/2026,110,147,3
198,7,5/11/2026,7/23/2026,141,139,4
199,7,5/12/2026,5/14/2026,140,109,3
200,7,5/12/2026,8/16/2026,117,136,4
201,7,5/12/2026,9/20/2026,119,137,4
202,7,5/12/2026,5/14/2026,113,120,3
203,7,5/12/2026,5/14/2026,134,115,3
204,7,5/12/2026,5/14/2026,111,143,3
205,7,5/12/2026,5/14/2026,121,116,3
206,7,5/12/2026,5/14/2026,144,112,3
207,7,5/12/2026,6/28/2026,145,118,3
208,7,5/12/2026,5/14/2026,142,146,3
209,7,5/12/2026,5/14/2026,158,135,3
210,7,5/13/2026,5/14/2026,133,138,3
211,8,5/15/2026,5/17/2026,134,143,3
212,8,5/15/2026,5/17/2026,120,110,3
213,8,5/15/2026,5/17/2026,116,141,3
214,8,5/15/2026,5/17/2026,114,113,3
215,8,5/15/2026,5/17/2026,139,146,3
216,8,5/15/2026,5/17/2026,142,158,3
217,8,5/15/2026,5/17/2026,144,111,3
218,8,5/15/2026,5/17/2026,121,147,3
219,8,5/15/2026,5/17/2026,145,112,3
220,8,5/16/2026,8/2/2026,117,140,3
221,8,5/16/2026,5/17/2026,138,118,3
222,8,5/16/2026,9/24/2026,115,109,3
223,8,5/16/2026,5/17/2026,108,119,3
224,8,5/16/2026,5/17/2026,136,135,3
225,8,5/16/2026,5/17/2026,133,137,3
226,8,5/18/2026,8/13/2026,116,114,4
227,8,5/18/2026,8/17/2026,139,110,4
228,8,5/18/2026,5/20/2026,143,113,3
229,8,5/18/2026,9/27/2026,146,144,4
230,8,5/18/2026,9/27/2026,120,121,4
231,8,5/18/2026,8/23/2026,147,141,4
232,8,5/18/2026,5/20/2026,118,111,3
233,8,5/18/2026,5/20/2026,142,117,3
234,8,5/18/2026,9/3/2026,112,158,4
235,8,5/19/2026,5/20/2026,115,140,3
236,8,5/19/2026,6/28/2026,108,133,4
237,8,5/19/2026,6/28/2026,135,119,3
238,8,5/19/2026,7/2/2026,109,137,3
239,8,5/19/2026,5/20/2026,136,145,3
240,8,5/19/2026,8/30/2026,138,134,3
