id,name,abbreviation,conference,logo_url
331,Eastern Washington,EWU,Big Sky,https://cdn.collegefootballdata.com/logos/500/331.png
2193,East Tennessee State,ETSU,Southern,https://cdn.collegefootballdata.com/logos/500/2193.png
2837,East Texas A&M,ETAM,Southland,https://cdn.collegefootballdata.com/logos/500/2837.png
2210,Elon,ELON,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/2210.png
50,Florida A&M,FAMU,SWAC,https://cdn.collegefootballdata.com/logos/500/50.png
2230,Fordham,FOR,Patriot,https://cdn.collegefootballdata.com/logos/500/2230.png
231,Furman,FUR,Southern,https://cdn.collegefootballdata.com/logos/500/231.png
2241,Gardner-Webb,GWEB,OVC,https://cdn.collegefootballdata.com/logos/500/2241.png
46,Georgetown,GTWN,Patriot,https://cdn.collegefootballdata.com/logos/500/46.png
2755,Grambling,GRAM,SWAC,https://cdn.collegefootballdata.com/logos/500/2755.png
2261,Hampton,HAMP,Coastal Athletic,https://cdn.collegefootballdata.com/logos/500/2261.png
108,Harvard,HARV,Ivy,https://cdn.collegefootballdata.com/logos/500/108.png
107,Holy Cross,HC,Patriot,https://cdn.collegefootballdata.com/logos/500/107.png
2277,Houston Christian,HCU,Southland,https://cdn.collegefootballdata.com/logos/500/2277.png
47,Howard,HOW,MEAC,https://cdn.collegefootballdata.com/logos/500/47.png
70,Idaho,IDHO,Big Sky,https://cdn.collegefootballdata.com/logos/500/70.png
304,Idaho State,IDST,Big Sky,https://cdn.collegefootballdata.com/logos/500/304.png
2287,Illinois State,ILST,MVFC,https://cdn.collegefootballdata.com/logos/500/2287.png
2916,Incarnate Word,UIW,Southland,https://cdn.collegefootballdata.com/logos/500/2916.png
282,Indiana State,INST,MVFC,https://cdn.collegefootballdata.com/logos/500/282.png
2296,Jackson State,JKST,SWAC,https://cdn.collegefootballdata.com/logos/500/2296.png
322,Lafayette,LAF,Patriot,https://cdn.collegefootballdata.com/logos/500/322.png
2320,Lamar,LAM,Southland,https://cdn.collegefootballdata.com/logos/500/2320.png
